Fiber Volume Fraction,Load (N),Ply1 Angle,Ply2 Angle,Ply3 Angle,Ply4 Angle,Ply5 Angle,Ply6 Angle,Total Deformation Maximum [mm],Equivalent Stress Maximum [MPa],Equivalent Elastic Strain Maximum [mm mm^-1],Inverse Reserve Factor Maximum
0.52,8911,45,45,-45,-45,45,45,3.108,148.75,0.003445,0.223
0.65,1664,0,90,90,90,90,0,0.498,20.71,0.000549,0.032
0.62,4160,90,0,45,-45,0,90,1.203,58.14,0.001331,0.089
0.65,9051,90,0,45,-45,0,90,2.509,128.08,0.002767,0.201
0.59,6058,45,-45,45,-45,45,-45,1.613,102.24,0.001768,0.156
0.59,4256,0,15,-15,-15,15,0,1.224,65.8,0.00137,0.098
0.4,8979,90,0,45,-45,0,90,4.067,196.75,0.004535,0.3
0.42,2829,0,15,-15,-15,15,0,1.269,57.11,0.001427,0.086
0.48,5321,0,30,60,-60,-30,0,1.953,98.58,0.002165,0.151
0.53,6207,0,0,90,90,0,0,2.301,95.32,0.002569,0.149
0.45,6515,0,15,-15,-15,15,0,2.493,136.66,0.002812,0.214
0.59,5501,0,60,-60,-60,60,0,1.76,81.09,0.001957,0.126
0.45,9097,90,45,0,0,45,90,3.745,173.99,0.004125,0.263
0.56,3867,45,45,-45,-45,45,45,1.197,63.07,0.00135,0.095
0.53,7354,90,45,0,0,45,90,2.402,129.97,0.002637,0.2
0.54,3819,0,60,-60,-60,60,0,1.194,62.78,0.001311,0.095
0.44,9980,45,45,-45,-45,45,45,3.987,204.63,0.004415,0.32
0.6,9844,0,90,90,90,90,0,3.221,134.87,0.003561,0.205
0.52,9146,0,60,-60,-60,60,0,2.983,166.77,0.003253,0.262
0.46,3305,90,0,45,-45,0,90,1.292,62.69,0.001444,0.099
0.43,1062,0,45,-45,-45,45,0,0.411,23.15,0.000461,0.036
0.42,7891,0,0,90,90,0,0,3.521,159.24,0.003903,0.247
0.46,4922,0,30,60,-60,-30,0,1.936,91.55,0.002141,0.142
0.48,6557,0,90,90,90,90,0,2.661,112.14,0.002982,0.175
0.43,9886,0,45,-45,90,-45,45,3.901,212.42,0.004336,0.325
0.59,3216,0,0,90,90,0,0,1.067,45.59,0.001172,0.072
0.61,7001,0,30,60,-60,-30,0,2.08,99.9,0.002332,0.151
0.44,5759,45,45,-45,-45,45,45,2.312,121.32,0.002604,0.187
0.59,7340,0,90,90,90,90,0,2.347,102.03,0.002657,0.157
0.55,6770,0,30,-30,-30,30,0,2.211,109.28,0.00249,0.171
0.59,6511,45,45,-45,-45,45,45,1.969,99.36,0.002183,0.155
0.42,4599,0,45,-45,90,-45,45,1.87,101.2,0.002119,0.16
0.65,9232,90,45,0,0,45,90,2.51,125.87,0.00284,0.199
0.61,2031,0,60,-60,-60,60,0,0.546,31.79,0.00061,0.05
0.55,5314,0,30,60,-60,-30,0,1.641,89.07,0.001821,0.134
0.56,1980,0,90,90,90,90,0,0.678,29.82,0.000751,0.046
0.56,6580,0,45,-45,90,-45,45,1.984,113.05,0.002214,0.171
0.47,2748,0,15,-15,-15,15,0,1.063,51.36,0.001192,0.077
0.41,3115,45,-45,45,-45,45,-45,1.21,72.93,0.001328,0.113
0.48,9102,45,-45,45,-45,45,-45,3.115,186.77,0.003467,0.295
0.57,4579,0,0,90,90,0,0,1.489,67.13,0.001686,0.105
0.58,8375,0,15,-15,-15,15,0,2.423,135.96,0.00265,0.215
0.42,5253,0,60,-60,-60,60,0,2.236,108.64,0.002532,0.172
0.56,7373,0,60,-60,-60,60,0,2.172,121.37,0.002418,0.188
0.56,9566,45,45,-45,-45,45,45,3.002,151.47,0.003313,0.232
0.43,5852,0,90,90,90,90,0,2.577,114.02,0.002815,0.18
0.51,7037,45,45,-45,-45,45,45,2.405,127.22,0.002658,0.197
0.42,1775,90,0,45,-45,0,90,0.765,35.75,0.000852,0.055
0.6,2212,45,-45,45,-45,45,-45,0.586,36.52,0.000645,0.058
0.48,1242,0,0,90,90,0,0,0.481,21.02,0.00053,0.031
0.61,8333,0,0,90,90,0,0,2.555,113.38,0.002819,0.179
0.43,2605,0,45,-45,90,-45,45,1.026,57.52,0.001128,0.09
0.51,5178,0,30,60,-60,-30,0,1.823,93.45,0.001997,0.147
0.48,6033,45,45,-45,-45,45,45,2.251,107.35,0.002537,0.17
0.63,6831,0,30,60,-60,-30,0,1.87,103.43,0.002055,0.162
0.43,8355,0,30,-30,-30,30,0,3.635,164.78,0.004003,0.248
0.43,7930,0,30,-30,-30,30,0,3.145,168.09,0.003484,0.254
0.48,7430,45,-45,45,-45,45,-45,2.514,153.55,0.00274,0.238
0.62,7115,90,45,0,0,45,90,1.996,102.26,0.002233,0.16
0.48,7623,45,-45,45,-45,45,-45,2.494,155.92,0.002825,0.236
0.44,1829,45,45,-45,-45,45,45,0.756,36.67,0.000853,0.056
0.43,5383,0,30,60,-60,-30,0,2.274,107.57,0.002549,0.162
0.42,2026,90,45,0,0,45,90,0.862,42.73,0.000974,0.064
0.65,1386,45,45,-45,-45,45,45,0.388,18.61,0.000436,0.029
0.6,1931,90,0,45,-45,0,90,0.554,29.54,0.000615,0.045
0.58,4789,0,90,90,90,90,0,1.608,68.6,0.001758,0.108
0.62,8480,0,60,-60,-60,60,0,2.422,125.92,0.002649,0.193
0.63,1569,0,45,-45,-45,45,0,0.466,21.46,0.000519,0.033
0.61,1856,0,30,-30,-30,30,0,0.506,27.62,0.000551,0.043
0.42,7743,90,0,45,-45,0,90,3.067,171.2,0.003418,0.27
0.52,6744,0,45,-45,-45,45,0,2.285,112.08,0.002556,0.175
0.56,2740,0,60,-60,-60,60,0,0.869,42.08,0.000965,0.065
0.41,1409,0,60,-60,-60,60,0,0.623,29.71,0.0007,0.046
0.53,1768,45,45,-45,-45,45,45,0.595,28.39,0.000659,0.045
0.65,3154,0,45,-45,90,-45,45,0.827,46.71,0.000909,0.071
0.58,7505,0,90,90,90,90,0,2.45,105.71,0.002737,0.159
0.49,2684,45,-45,45,-45,45,-45,0.882,51.82,0.000988,0.082
0.64,6266,90,45,0,0,45,90,1.812,84.27,0.001989,0.133
0.62,9155,0,0,90,90,0,0,2.736,124.67,0.002989,0.197
0.51,9046,0,30,-30,-30,30,0,3.248,151.96,0.003593,0.234
0.65,2649,0,90,90,90,90,0,0.8,34.21,0.000889,0.051
0.6,8339,45,45,-45,-45,45,45,2.551,123.08,0.002891,0.195
0.44,7455,0,30,-30,-30,30,0,2.962,151.47,0.00329,0.236
0.5,5903,0,90,90,90,90,0,2.314,98.7,0.002524,0.155
0.42,4647,0,15,-15,-15,15,0,1.988,99.71,0.002192,0.156
0.56,4984,0,90,90,90,90,0,1.664,75.21,0.001838,0.113
0.54,4030,0,30,-30,-30,30,0,1.331,65.64,0.001494,0.102
0.42,3148,45,45,-45,-45,45,45,1.381,63.63,0.001506,0.097
0.55,8406,0,15,-15,-15,15,0,2.699,137.47,0.003055,0.207
0.55,7552,0,45,-45,-45,45,0,2.576,118.37,0.002828,0.178
0.54,7422,0,0,90,90,0,0,2.599,112.99,0.002835,0.172
0.63,2887,0,45,-45,-45,45,0,0.843,39.16,0.000923,0.06
0.57,7337,45,-45,45,-45,45,-45,2.113,125.98,0.002364,0.192
0.45,7058,90,45,0,0,45,90,2.769,139.43,0.003041,0.22
0.54,9299,0,90,90,90,90,0,3.355,143.86,0.003793,0.215
0.42,1239,0,90,90,90,90,0,0.546,24.48,0.000601,0.037
0.55,3400,0,30,60,-60,-30,0,1.058,56.27,0.001165,0.086
0.64,5909,0,30,-30,-30,30,0,1.598,87.92,0.00181,0.133
0.47,3254,45,45,-45,-45,45,45,1.268,60.97,0.001429,0.095
0.64,6113,0,90,90,90,90,0,1.862,79.51,0.002108,0.123
0.45,4756,45,45,-45,-45,45,45,1.876,95.92,0.002091,0.145
0.5,4095,45,45,-45,-45,45,45,1.476,69.44,0.001658,0.104
0.56,8111,0,15,-15,-15,15,0,2.454,137.15,0.002752,0.206
0.4,1748,0,15,-15,-15,15,0,0.798,38.41,0.000882,0.058
0.46,9724,0,15,-15,-15,15,0,3.64,190.14,0.003998,0.292
0.53,6555,0,30,-30,-30,30,0,2.206,107.98,0.002431,0.167
0.6,4748,0,90,90,90,90,0,1.536,63.45,0.001693,0.097
0.61,7542,0,45,-45,90,-45,45,2.129,114.21,0.002365,0.178
0.61,5804,0,90,90,90,90,0,1.82,79.23,0.001987,0.125
0.6,7718,0,45,-45,90,-45,45,2.104,124.04,0.002341,0.188
0.55,8648,0,45,-45,-45,45,0,2.753,142.06,0.003112,0.223
0.62,1142,0,60,-60,-60,60,0,0.316,16.61,0.000349,0.026
0.56,3346,0,60,-60,-60,60,0,1.041,52.72,0.001155,0.083
0.41,2388,0,45,-45,90,-45,45,0.974,54.25,0.001078,0.086
0.45,3535,45,45,-45,-45,45,45,1.317,71.22,0.001465,0.108
0.45,6557,0,0,90,90,0,0,2.756,118.74,0.003024,0.181
0.42,3289,0,45,-45,-45,45,0,1.394,72.71,0.001525,0.114
0.57,3780,0,60,-60,-60,60,0,1.188,57.22,0.001301,0.087
0.48,9180,0,30,-30,-30,30,0,3.409,171.2,0.003812,0.264
0.49,8561,0,45,-45,90,-45,45,2.866,159.86,0.003164,0.239
0.49,7990,0,90,90,90,90,0,3.12,131.43,0.003491,0.207
0.58,1182,45,45,-45,-45,45,45,0.372,17.17,0.000414,0.027
0.42,4183,90,45,0,0,45,90,1.848,85.46,0.002061,0.132
0.59,5032,0,30,-30,-30,30,0,1.401,79.51,0.00154,0.124
0.51,5525,45,45,-45,-45,45,45,1.81,102.64,0.002039,0.16
0.49,4758,0,15,-15,-15,15,0,1.788,82.86,0.001967,0.131
0.59,2830,45,-45,45,-45,45,-45,0.756,46.95,0.000826,0.07
0.46,7746,0,30,-30,-30,30,0,2.933,152.73,0.003215,0.242
0.44,5888,90,0,45,-45,0,90,2.225,127.25,0.002489,0.194
0.42,2529,0,90,90,90,90,0,1.141,50.64,0.001269,0.08
0.42,3942,0,15,-15,-15,15,0,1.642,86.62,0.001831,0.136
0.56,4676,0,0,90,90,0,0,1.601,70.93,0.001748,0.111
0.42,4464,0,30,-30,-30,30,0,1.832,100.09,0.002048,0.155
0.42,1200,0,0,90,90,0,0,0.536,23.13,0.000589,0.035
0.57,6424,45,-45,45,-45,45,-45,1.85,112.69,0.002035,0.175
0.41,5441,0,90,90,90,90,0,2.478,110.01,0.002757,0.173
0.53,8244,0,0,90,90,0,0,3.043,131.93,0.003338,0.208
0.54,6577,0,45,-45,90,-45,45,2.005,114.63,0.002265,0.172
0.64,8536,0,45,-45,90,-45,45,2.188,123.37,0.002424,0.19
0.61,2144,45,-45,45,-45,45,-45,0.581,34.56,0.000635,0.054
0.58,8016,90,0,45,-45,0,90,2.59,118.07,0.002874,0.177
0.51,6328,0,60,-60,-60,60,0,2.28,107.69,0.002557,0.167
0.48,8406,0,30,-30,-30,30,0,2.98,160.12,0.003326,0.247
0.58,2755,90,45,0,0,45,90,0.804,45.45,0.000877,0.07
0.5,3732,0,30,60,-60,-30,0,1.316,68.45,0.001446,0.104
0.41,2269,0,90,90,90,90,0,1.054,45.65,0.001188,0.072
0.55,7756,0,60,-60,-60,60,0,2.46,122.14,0.002753,0.193
0.51,6578,90,45,0,0,45,90,2.184,120.54,0.002387,0.182
0.46,7390,90,45,0,0,45,90,2.922,137.18,0.003306,0.207
0.5,1415,0,60,-60,-60,60,0,0.52,24.92,0.000584,0.039
0.59,3290,45,45,-45,-45,45,45,1.014,47.41,0.001122,0.074
0.53,4834,45,45,-45,-45,45,45,1.582,83.37,0.001781,0.129
0.5,5496,0,30,60,-60,-30,0,1.933,98.07,0.002151,0.15
0.59,7778,0,30,-30,-30,30,0,2.454,110.86,0.002751,0.167
0.51,5084,45,45,-45,-45,45,45,1.752,88.45,0.001973,0.14
0.5,3455,0,45,-45,90,-45,45,1.191,63.72,0.001309,0.099
0.51,2419,0,45,-45,-45,45,0,0.857,41.2,0.000936,0.063
0.51,7282,90,0,45,-45,0,90,2.346,133.89,0.002639,0.2
0.56,1544,90,0,45,-45,0,90,0.48,24.96,0.000534,0.038
0.43,3915,0,60,-60,-60,60,0,1.661,78.97,0.001859,0.119
0.5,5649,45,45,-45,-45,45,45,1.879,104.24,0.002099,0.165
0.6,1136,0,45,-45,-45,45,0,0.341,16.58,0.000376,0.025
0.59,4344,90,45,0,0,45,90,1.322,62.59,0.001445,0.099
0.6,8738,90,45,0,0,45,90,2.499,129.18,0.002797,0.195
0.52,6124,0,0,90,90,0,0,2.242,98.53,0.002489,0.152
0.46,6022,90,45,0,0,45,90,2.369,116.64,0.002581,0.183
0.55,7857,45,45,-45,-45,45,45,2.416,128.91,0.002666,0.199
0.53,7032,0,60,-60,-60,60,0,2.375,119.76,0.002686,0.179
0.63,8948,0,90,90,90,90,0,2.654,120.46,0.003001,0.182
0.4,9762,0,30,60,-60,-30,0,4.45,204.39,0.004883,0.317
0.42,2931,45,45,-45,-45,45,45,1.212,65.88,0.00136,0.099
0.47,1836,45,-45,45,-45,45,-45,0.644,38.18,0.000726,0.059
0.47,6029,45,45,-45,-45,45,45,2.176,117.8,0.00242,0.18
0.52,8498,0,30,-30,-30,30,0,2.858,150.28,0.003134,0.226
0.64,2218,0,60,-60,-60,60,0,0.597,31.42,0.000658,0.049
0.5,8244,0,60,-60,-60,60,0,2.821,150.6,0.003149,0.229
0.49,7096,0,45,-45,-45,45,0,2.446,128.49,0.002673,0.195
0.55,1830,90,0,45,-45,0,90,0.624,29.57,0.000689,0.045
0.57,8545,45,45,-45,-45,45,45,2.664,136.28,0.00298,0.21
0.6,4842,0,60,-60,-60,60,0,1.481,69.57,0.001665,0.105
0.61,6605,0,60,-60,-60,60,0,2.008,90.02,0.002191,0.137
0.54,2133,90,0,45,-45,0,90,0.716,35.39,0.000805,0.054
0.52,9094,0,45,-45,-45,45,0,2.992,161.84,0.003302,0.254
0.59,3878,0,45,-45,-45,45,0,1.176,55.88,0.001286,0.086
0.6,2724,0,60,-60,-60,60,0,0.825,39.8,0.000909,0.061
0.51,6073,0,90,90,90,90,0,2.336,99.53,0.002604,0.153
0.63,3010,0,0,90,90,0,0,0.896,39.17,0.001004,0.06
0.42,5872,45,-45,45,-45,45,-45,2.195,132.85,0.00241,0.201
0.6,8454,0,45,-45,90,-45,45,2.338,135.16,0.002648,0.21
0.51,5251,0,30,-30,-30,30,0,1.93,88.17,0.002142,0.138
0.62,2134,90,45,0,0,45,90,0.588,30.82,0.000665,0.049
0.42,7114,0,15,-15,-15,15,0,2.77,156.3,0.003122,0.238
0.5,6112,0,30,60,-60,-30,0,2.132,112.37,0.002386,0.169
0.53,3457,45,45,-45,-45,45,45,1.168,56.36,0.001272,0.085
0.4,8866,0,45,-45,-45,45,0,3.871,197.36,0.004385,0.298
0.62,5076,0,30,-30,-30,30,0,1.439,74.94,0.001597,0.113
0.41,3002,45,-45,45,-45,45,-45,1.154,71.4,0.001281,0.111
0.56,5979,0,0,90,90,0,0,2.007,86.44,0.002248,0.134
0.5,8446,0,0,90,90,0,0,3.142,137.12,0.003521,0.21
0.53,6782,0,60,-60,-60,60,0,2.238,119.93,0.002487,0.186
0.55,6767,0,45,-45,-45,45,0,2.172,110.93,0.002455,0.17
0.45,7373,0,15,-15,-15,15,0,2.915,138.36,0.003252,0.219
0.64,1805,0,90,90,90,90,0,0.533,23.42,0.000596,0.036
0.55,3293,0,15,-15,-15,15,0,1.046,54.17,0.001165,0.084
0.65,7243,0,15,-15,-15,15,0,2.015,98.49,0.002248,0.156
0.41,4114,0,60,-60,-60,60,0,1.691,90.57,0.001853,0.138
0.58,8204,90,0,45,-45,0,90,2.479,126.18,0.002715,0.198
0.48,9196,90,45,0,0,45,90,3.367,166.04,0.003737,0.26
0.41,5464,0,45,-45,90,-45,45,2.296,122.6,0.002546,0.189
0.6,1034,0,45,-45,90,-45,45,0.292,15.9,0.000325,0.025
0.64,9482,90,45,0,0,45,90,2.738,125.82,0.003008,0.189
0.63,9288,0,90,90,90,90,0,2.749,121.26,0.003075,0.188
0.61,7932,0,90,90,90,90,0,2.53,106.54,0.002797,0.167
0.41,1638,0,0,90,90,0,0,0.783,33.22,0.000884,0.052
0.65,2262,0,60,-60,-60,60,0,0.607,31.06,0.000681,0.049
0.52,2272,0,60,-60,-60,60,0,0.783,37.35,0.000869,0.058
0.42,3242,90,45,0,0,45,90,1.383,68.91,0.00154,0.108
0.64,2966,45,-45,45,-45,45,-45,0.765,46.22,0.000862,0.069
0.43,5231,0,45,-45,-45,45,0,2.034,110.1,0.002225,0.165
0.52,8939,0,45,-45,-45,45,0,3.008,164.15,0.003328,0.258
0.55,9738,0,15,-15,-15,15,0,3.076,160.23,0.003367,0.24
0.51,8199,0,45,-45,-45,45,0,2.853,136.6,0.003184,0.206
0.49,7733,0,90,90,90,90,0,3.032,131.54,0.003434,0.199
0.49,6888,90,0,45,-45,0,90,2.403,127.63,0.002709,0.199
0.51,2912,0,45,-45,-45,45,0,1.007,50.35,0.001107,0.076
0.46,8118,0,60,-60,-60,60,0,2.965,163.79,0.003301,0.253
0.4,7997,90,0,45,-45,0,90,3.528,173.27,0.003843,0.265
0.47,5521,0,90,90,90,90,0,2.218,99.39,0.002423,0.156
0.44,4167,90,45,0,0,45,90,1.729,83.36,0.00192,0.125
0.56,6910,0,60,-60,-60,60,0,2.107,108.54,0.00232,0.169
0.51,8032,0,30,60,-60,-30,0,2.696,145.05,0.002958,0.221
0.43,1621,0,90,90,90,90,0,0.74,31.72,0.000814,0.049
0.45,7316,0,45,-45,90,-45,45,2.749,155.65,0.003103,0.236
0.54,5924,90,45,0,0,45,90,2.041,95.94,0.002308,0.145
0.56,2859,0,45,-45,-45,45,0,0.896,46.35,0.001004,0.073
0.48,8662,0,30,-30,-30,30,0,3.355,152.4,0.003752,0.231
0.62,7949,0,15,-15,-15,15,0,2.228,112.77,0.002517,0.178
0.52,9273,0,0,90,90,0,0,3.441,144.24,0.003812,0.216
0.49,8618,45,45,-45,-45,45,45,3.195,154.17,0.003488,0.242
0.5,8592,0,60,-60,-60,60,0,2.948,152.68,0.003295,0.235
0.49,4021,45,-45,45,-45,45,-45,1.289,81.79,0.001429,0.125
0.61,7296,0,60,-60,-60,60,0,2.164,105.18,0.002445,0.163
0.53,4800,45,45,-45,-45,45,45,1.603,82.58,0.001802,0.127
0.54,7724,0,60,-60,-60,60,0,2.567,130.2,0.002897,0.204
0.61,9076,0,90,90,90,90,0,2.896,119.27,0.003273,0.185
0.47,3301,0,0,90,90,0,0,1.318,59.32,0.001443,0.089
0.51,7458,45,45,-45,-45,45,45,2.714,126.41,0.003063,0.195
0.55,4354,45,45,-45,-45,45,45,1.452,69.53,0.001615,0.106
0.65,5333,0,45,-45,-45,45,0,1.518,70.75,0.001667,0.108
0.6,5806,0,45,-45,90,-45,45,1.656,91.02,0.001807,0.144
0.61,9877,0,30,60,-60,-30,0,2.903,145.24,0.003237,0.223
0.55,4494,0,90,90,90,90,0,1.59,65.48,0.001762,0.101
0.45,2034,90,0,45,-45,0,90,0.804,40.16,0.000888,0.062
0.63,8536,0,90,90,90,90,0,2.525,112.18,0.002813,0.176
0.47,9084,45,45,-45,-45,45,45,3.452,172.75,0.003902,0.27
0.53,1953,0,45,-45,-45,45,0,0.676,32.3,0.000761,0.049
0.57,1898,0,90,90,90,90,0,0.632,27.15,0.000694,0.041
0.44,9896,0,60,-60,-60,60,0,3.954,211.06,0.004435,0.326
0.56,2339,0,60,-60,-60,60,0,0.721,38.65,0.0008,0.058
0.41,4422,0,30,-30,-30,30,0,1.885,98.73,0.002123,0.152
0.41,4830,0,90,90,90,90,0,2.213,99.02,0.002489,0.156
0.48,4749,0,0,90,90,0,0,1.845,82.87,0.002091,0.129
0.52,7824,0,90,90,90,90,0,2.806,127.66,0.003178,0.197
0.6,5295,0,60,-60,-60,60,0,1.479,83.65,0.001626,0.125
0.45,1254,90,0,45,-45,0,90,0.482,25.17,0.000533,0.038
