Sl.No,Fiber Volume Fraction,Fiber_Thickness,ModelingPly.1.ply_angle, ModelingPly.2.ply_angle, ModelingPly.3.ply_angle,ModelingPly.4.ply_angle,ModelingPly.5.ply_angle, ModelingPly.6.ply_angle, E1, E2, E3, G12, G23, G31, nu12, nu13,nu23,Inverse Reserve Factor Maximum,Total Deformation Maximum [mm],Equivalent Stress Maximum [MPa],Shear Stress Maximum-XY [MPa],Normal Stress Maximum-X [MPa], Normal Stress  Maximum-Y[MPa],Equivalent Elastic Strain Maximum [mm mm^-1],Shear Elastic Strain Maximum-XY [mm mm^-1],Normal Elastic Strain Maximum-X [mm mm^-1],Normal Elastic Strain Maximum-Y[mm mm^-1]
499,0.5138,0.27,0,45,-45,-45,45,0,70030.12,4646.74,4414.41,2585.43,1864.27,1864.27,0.2653,0.2553,0.3145,3.0,0.112605,14.597,2.19,10.218,4.379,0.00112605,0.00084688,0.00014591,0.0009424
500,0.4875,0.2375,0,0,90,90,0,0,65934.43,4294.07,4079.37,2400.25,1673.82,1673.82,0.277,0.267,0.3652,3.0,0.462341,55.473,8.321,38.831,16.642,0.00462341,0.00346672,0.00058894,0.00387557
501,0.5959,0.229,0,30,-30,-30,30,0,80803.11,5403.23,5133.06,2935.09,2079.73,2079.73,0.3152,0.3052,0.3342,3.0,0.288077,43.118,6.468,30.183,12.936,0.00288077,0.00220359,0.00037354,0.00239403
502,0.4532,0.2084,0,30,-30,-30,30,0,62131.16,4005.17,3804.91,2157.16,1599.56,1599.56,0.2932,0.2832,0.3563,3.0,0.316179,35.012,5.252,24.509,10.504,0.00316179,0.00243461,0.00039447,0.00262253
503,0.5323,0.2283,45,45,-45,-45,45,45,72366.32,4706.17,4470.86,2727.85,1818.75,1818.75,0.2946,0.2846,0.3592,3.0,0.129652,17.22,2.583,12.054,5.166,0.00129652,0.00094688,0.00016657,0.00109769
504,0.5164,0.2792,0,30,-30,-30,30,0,69905.5,4236.14,4024.33,2527.82,1805.01,1805.01,0.274,0.264,0.322,3.0,0.09033,10.893,1.634,7.625,3.268,0.0009033,0.0006464,0.00010908,0.00077145
505,0.5358,0.2274,0,60,-60,-60,60,0,71943.08,4798.93,4558.98,2661.57,1987.44,1987.44,0.2985,0.2885,0.3644,3.0,0.183448,24.534,3.68,17.174,7.36,0.00183448,0.00138271,0.00023872,0.00153375
506,0.4751,0.1904,0,45,-45,-45,45,0,65109.71,4268.42,4055.0,2359.09,1657.13,1657.13,0.2804,0.2704,0.3709,3.0,0.515981,61.336,9.2,42.935,18.401,0.00515981,0.00389998,0.00065943,0.00431091
507,0.5043,0.273,45,45,-45,-45,45,45,66818.07,4276.31,4062.5,2573.42,1777.52,1777.52,0.2747,0.2647,0.3196,3.0,0.371865,45.329,6.799,31.73,13.599,0.00371865,0.00264214,0.00047488,0.00318
508,0.5892,0.2501,0,90,90,90,90,0,80563.99,5154.53,4896.81,2913.1,2071.07,2071.07,0.2691,0.2591,0.312,3.0,0.26571,38.398,5.76,26.878,11.519,0.0026571,0.00197716,0.00033363,0.0022348
509,0.5694,0.2523,0,0,90,90,0,0,78136.31,4899.59,4654.61,2942.89,2002.79,2002.79,0.32,0.31,0.318,3.0,0.195165,27.253,4.088,19.077,8.176,0.00195165,0.0013891,0.00024415,0.00166869
510,0.5061,0.2331,90,45,0,0,45,90,69182.16,4427.44,4206.07,2452.17,1767.79,1767.79,0.3111,0.3011,0.3634,3.0,0.180537,22.282,3.342,15.598,6.685,0.00180537,0.00136303,0.00022546,0.00150984
511,0.5498,0.2146,45,45,-45,-45,45,45,72350.32,4750.04,4512.54,2749.54,2023.24,2023.24,0.2946,0.2846,0.3173,3.0,0.129974,17.414,2.612,12.19,5.224,0.00129974,0.00095003,0.00016849,0.00109985
512,0.4741,0.2359,45,45,-45,-45,45,45,65375.11,4134.93,3928.19,2391.59,1701.71,1701.71,0.3136,0.3036,0.3326,3.0,0.246952,28.814,4.322,20.17,8.644,0.00246952,0.00180721,0.00030853,0.00209054
513,0.5279,0.1993,0,60,-60,-60,60,0,72439.92,4682.12,4448.01,2559.97,1946.62,1946.62,0.2973,0.2873,0.3229,3.0,0.176312,22.924,3.439,16.047,6.877,0.00176312,0.00134321,0.00022152,0.00146881
514,0.6015,0.2556,45,45,-45,-45,45,45,81187.43,5407.93,5137.53,3018.21,1987.53,1987.53,0.2979,0.2879,0.3505,3.0,0.364517,55.036,8.255,38.525,16.511,0.00364517,0.00273521,0.00047452,0.00305309
515,0.4876,0.283,0,45,-45,-45,45,0,67585.91,4300.28,4085.26,2483.35,1673.98,1673.98,0.3026,0.2926,0.3524,3.0,0.078873,9.566,1.435,6.696,2.87,0.00078873,0.0005778,9.908e-05,0.00066734
516,0.5882,0.2073,0,60,-60,-60,60,0,77073.8,5130.91,4874.37,2892.44,1978.07,1978.07,0.3087,0.2987,0.3194,3.0,0.361483,51.928,7.789,36.35,15.578,0.00361483,0.00269297,0.00047162,0.0030362
517,0.5222,0.2658,0,0,90,90,0,0,69291.04,4469.21,4245.75,2542.55,1825.47,1825.47,0.2696,0.2596,0.3255,3.0,0.12707,15.948,2.392,11.164,4.785,0.0012707,0.00094089,0.00016112,0.00107055
518,0.4562,0.2545,0,45,-45,-45,45,0,61205.6,4075.9,3872.11,2403.38,1508.71,1508.71,0.273,0.263,0.3372,3.0,0.36612,42.287,6.343,29.601,12.686,0.0036612,0.00263925,0.00048364,0.0031125
519,0.4917,0.2774,0,90,90,90,90,0,64458.41,4514.2,4288.49,2498.26,1746.21,1746.21,0.2666,0.2566,0.3506,3.0,0.475548,59.738,8.961,41.817,17.921,0.00475548,0.0035868,0.00064874,0.00397003
520,0.4879,0.2903,45,45,-45,-45,45,45,65985.29,4213.23,4002.57,2450.47,1640.16,1640.16,0.2876,0.2776,0.3179,3.0,0.104677,12.462,1.869,8.723,3.738,0.00104677,0.0007628,0.0001322,0.00088731
521,0.4837,0.2365,0,60,-60,-60,60,0,63977.81,4271.9,4058.31,2434.71,1661.46,1661.46,0.2435,0.2335,0.3352,3.0,0.224719,26.957,4.044,18.87,8.087,0.00224719,0.00166079,0.00029494,0.00189308
522,0.6048,0.2581,0,60,-60,-60,60,0,81442.42,5620.14,5339.14,3057.59,2043.45,2043.45,0.2981,0.2881,0.3158,3.0,0.320298,49.861,7.479,34.902,14.958,0.00320298,0.00244608,0.00042855,0.00266153
523,0.5083,0.2408,0,30,-30,-30,30,0,68983.92,4507.42,4282.05,2416.33,1782.41,1782.41,0.2904,0.2804,0.3508,3.0,0.282151,35.106,5.266,24.574,10.532,0.00282151,0.00217928,0.00035623,0.00233653
524,0.5718,0.2322,0,60,-60,-60,60,0,76043.87,5069.61,4816.13,2853.51,1962.67,1962.67,0.2437,0.2337,0.342,3.0,0.184555,26.184,3.928,18.328,7.855,0.00184555,0.00137638,0.00024102,0.00154944
525,0.573,0.2038,90,45,0,0,45,90,77293.06,5199.16,4939.2,2923.36,1988.62,1988.62,0.2653,0.2553,0.3318,3.0,0.418641,60.885,9.133,42.619,18.265,0.00418641,0.00312405,0.0005514,0.00351315
526,0.4992,0.2999,0,45,-45,-45,45,0,68821.37,4540.85,4313.81,2585.53,1799.88,1799.88,0.2737,0.2637,0.3447,3.0,0.156286,19.927,2.989,13.949,5.978,0.00156286,0.00115606,0.00020268,0.00131651
527,0.4741,0.278,0,90,90,90,90,0,64305.85,4015.86,3815.06,2412.27,1611.52,1611.52,0.2529,0.2429,0.3242,3.0,0.194812,22.299,3.345,15.609,6.69,0.00194812,0.00138659,0.00024273,0.00166581
528,0.479,0.2906,0,60,-60,-60,60,0,66929.94,4518.6,4292.67,2416.18,1675.18,1675.18,0.2635,0.2535,0.3275,3.0,0.29023,36.154,5.423,25.308,10.846,0.0029023,0.00224447,0.00037812,0.00240032
529,0.5406,0.2407,0,60,-60,-60,60,0,75452.3,4876.96,4633.12,2575.25,1922.37,1922.37,0.254,0.244,0.3465,3.0,0.487053,65.282,9.792,45.697,19.585,0.00487053,0.00380245,0.00060564,0.00401572
530,0.5333,0.1862,0,45,-45,-45,45,0,71221.4,4818.94,4577.99,2642.13,1811.23,1811.23,0.2632,0.2532,0.333,3.0,0.463478,62.025,9.304,43.417,18.607,0.00463478,0.00352129,0.00060961,0.00386132
531,0.6018,0.2212,0,90,90,90,90,0,80703.7,5322.93,5056.78,3017.75,2134.29,2134.29,0.3089,0.2989,0.3451,3.0,0.19507,29.121,4.368,20.385,8.736,0.0019507,0.0014475,0.00025259,0.00164128
532,0.5089,0.1827,45,45,-45,-45,45,45,70983.66,4364.38,4146.17,2569.73,1800.69,1800.69,0.2808,0.2708,0.3669,3.0,0.344273,42.617,6.393,29.832,12.785,0.00344273,0.00248765,0.00042027,0.00292943
533,0.4844,0.2535,45,-45,45,-45,45,-45,64574.58,4423.47,4202.29,2486.4,1678.06,1678.06,0.2443,0.2343,0.3405,3.0,0.405925,50.207,7.531,35.145,15.062,0.00405925,0.00302888,0.00054425,0.00340503
534,0.5745,0.2168,45,45,-45,-45,45,45,76725.01,5235.01,4973.26,2886.71,1931.31,1931.31,0.2571,0.2471,0.3733,3.0,0.225579,32.844,4.927,22.991,9.853,0.00225579,0.00170663,0.00029965,0.00188216
535,0.6453,0.216,0,0,90,90,0,0,85423.82,6059.01,5756.06,3247.67,2237.64,2237.64,0.2582,0.2482,0.3674,3.0,0.107011,17.872,2.681,12.51,5.361,0.00107011,0.00082544,0.00014645,0.00088488
536,0.5743,0.2476,0,45,-45,-45,45,0,78842.22,5108.57,4853.14,2808.88,1988.72,1988.72,0.2787,0.2687,0.3715,3.0,0.183146,26.022,3.903,18.216,7.807,0.00183146,0.00138965,0.00023104,0.00152816
537,0.5054,0.259,45,45,-45,-45,45,45,69208.41,4736.05,4499.25,2523.64,1819.46,1819.46,0.2872,0.2772,0.3364,3.0,0.089532,11.675,1.751,8.172,3.502,0.00089532,0.00069392,0.00011808,0.00073952
538,0.5104,0.2989,0,30,-30,-30,30,0,68904.41,4469.54,4246.06,2574.33,1695.83,1695.83,0.2693,0.2593,0.3597,3.0,0.490405,61.756,9.263,43.229,18.527,0.00490405,0.00359836,0.00062738,0.00414512
539,0.4748,0.2198,90,45,0,0,45,90,65325.46,4336.35,4119.53,2383.04,1716.66,1716.66,0.2554,0.2454,0.3003,3.0,0.396947,47.849,7.177,33.494,14.355,0.00396947,0.00301184,0.00051273,0.00331032
540,0.5508,0.2434,0,0,90,90,0,0,74451.12,4962.74,4714.6,2691.3,1968.04,1968.04,0.3093,0.2993,0.3018,3.0,0.335062,46.042,6.906,32.23,13.813,0.00335062,0.00256617,0.0004329,0.00278328
541,0.5561,0.2874,0,0,90,90,0,0,74260.44,5187.85,4928.46,2751.79,1943.89,1943.89,0.3179,0.3079,0.3354,3.0,0.287725,41.026,6.154,28.718,12.308,0.00287725,0.00223633,0.00038672,0.00237243
542,0.5189,0.2704,0,60,-60,-60,60,0,70135.58,4797.29,4557.42,2553.37,1766.95,1766.95,0.2536,0.2436,0.3016,3.0,0.292276,38.592,5.789,27.014,11.578,0.00292276,0.00226711,0.00038517,0.00241336
543,0.4604,0.2916,0,0,90,90,0,0,61275.66,3928.32,3731.91,2423.91,1626.7,1626.7,0.2724,0.2624,0.3359,3.0,0.093827,10.572,1.586,7.4,3.171,0.00093827,0.0006542,0.00012077,0.00080733
544,0.525,0.1845,0,90,90,90,90,0,72168.92,5071.98,4818.38,2568.29,1786.48,1786.48,0.2482,0.2382,0.3384,3.0,0.173997,23.904,3.586,16.733,7.171,0.00173997,0.00139613,0.00023186,0.00141391
545,0.5385,0.1965,45,-45,45,-45,45,-45,73759.66,4789.12,4549.67,2676.68,1915.04,1915.04,0.2724,0.2624,0.357,3.0,0.051415,6.88,1.032,4.816,2.064,0.00051415,0.00038557,6.53e-05,0.00043099
546,0.5754,0.2021,0,45,-45,-45,45,0,78379.48,5298.96,5034.01,2864.93,1978.46,1978.46,0.2645,0.2545,0.3209,3.0,0.090375,13.245,1.987,9.272,3.974,0.00090375,0.00069348,0.00011829,0.00074987
547,0.5422,0.2584,0,30,-30,-30,30,0,74968.64,4951.35,4703.78,2793.15,1910.7,1910.7,0.2606,0.2506,0.3643,3.0,0.266858,37.006,5.551,25.904,11.102,0.00266858,0.0019873,0.00034553,0.00224215
548,0.6003,0.2851,0,45,-45,-45,45,0,80399.18,5354.61,5086.88,3026.54,2124.28,2124.28,0.2868,0.2768,0.3124,3.0,0.29098,43.654,6.548,30.558,13.096,0.0029098,0.00216358,0.00038008,0.0024458
549,0.6271,0.2242,0,0,90,90,0,0,82644.73,5661.1,5378.04,3230.78,2156.93,2156.93,0.31,0.3,0.366,3.0,0.062671,9.962,1.494,6.973,2.989,0.00062671,0.00046251,8.438e-05,0.00052791
550,0.6219,0.2258,45,-45,45,-45,45,-45,85587.33,5696.7,5411.86,3057.17,2144.43,2144.43,0.3166,0.3066,0.3242,3.0,0.340913,53.61,8.041,37.527,16.083,0.00340913,0.00263037,0.00043846,0.00282321
551,0.6472,0.2254,90,45,0,0,45,90,87588.5,5689.31,5404.85,3194.24,2170.84,2170.84,0.2666,0.2566,0.3359,3.0,0.122003,19.419,2.913,13.594,5.826,0.00122003,0.00091193,0.0001552,0.001024
552,0.6225,0.2602,0,90,90,90,90,0,83523.58,5459.32,5186.36,3236.25,2169.43,2169.43,0.2474,0.2374,0.3443,3.0,0.3484,53.99,8.099,37.793,16.197,0.003484,0.00250245,0.00045249,0.00296688
553,0.5727,0.2671,0,45,-45,-45,45,0,77238.32,5603.48,5323.31,2798.73,2015.8,2015.8,0.274,0.264,0.3201,3.0,0.178785,27.0,4.05,18.9,8.1,0.00178785,0.00144708,0.0002447,0.00144552
554,0.5194,0.2566,0,90,90,90,90,0,70245.7,4751.24,4513.68,2616.62,1846.38,1846.38,0.2663,0.2563,0.3069,3.0,0.203785,26.923,4.038,18.846,8.077,0.00203785,0.00154338,0.00026829,0.00169995
555,0.5768,0.2837,45,-45,45,-45,45,-45,78175.76,5119.78,4863.79,2828.04,1959.52,1959.52,0.2675,0.2575,0.3613,3.0,0.064697,9.223,1.384,6.456,2.767,0.00064697,0.00048921,8.259e-05,0.00054045
556,0.5985,0.2096,0,45,-45,-45,45,0,79196.26,5443.59,5171.41,3036.98,2067.33,2067.33,0.3064,0.2964,0.3222,3.0,0.109505,16.632,2.495,11.642,4.989,0.00109505,0.00082146,0.000147,0.00091658
557,0.5179,0.1851,0,0,90,90,0,0,70643.32,4800.28,4560.26,2471.05,1880.47,1880.47,0.2933,0.2833,0.3163,3.0,0.44192,57.796,8.669,40.457,17.339,0.0044192,0.0035084,0.0005727,0.00361205
558,0.6326,0.2704,0,60,-60,-60,60,0,85847.41,5647.03,5364.68,3215.29,2134.93,2134.93,0.2733,0.2633,0.3291,3.0,0.301016,47.732,7.16,33.413,14.32,0.00301016,0.00222681,0.00038921,0.0025358
559,0.6138,0.2574,90,45,0,0,45,90,81981.61,5496.5,5221.68,3120.01,2113.42,2113.42,0.3027,0.2927,0.3663,3.0,0.075238,11.599,1.74,8.119,3.48,0.00075238,0.00055764,9.904e-05,0.00063307
560,0.5131,0.1974,0,45,-45,-45,45,0,68997.17,4776.43,4537.61,2585.19,1752.19,1752.19,0.2605,0.2505,0.3577,3.0,0.493737,65.219,9.783,45.653,19.566,0.00493737,0.0037842,0.00066167,0.00409631
561,0.4933,0.2795,90,45,0,0,45,90,67177.38,4253.31,4040.64,2377.15,1738.44,1738.44,0.2469,0.2369,0.3153,3.0,0.161981,19.258,2.889,13.481,5.778,0.00161981,0.00121522,0.00020068,0.00135836
562,0.5411,0.2916,0,0,90,90,0,0,72923.36,4643.89,4411.69,2585.33,1930.9,1930.9,0.2729,0.2629,0.325,3.0,0.309409,40.117,6.018,28.082,12.035,0.00309409,0.00232756,0.00038509,0.00259159
563,0.5151,0.2625,0,60,-60,-60,60,0,67328.71,4654.75,4422.01,2547.44,1780.98,1780.98,0.2983,0.2883,0.3284,3.0,0.069308,8.951,1.343,6.266,2.685,0.00069308,0.00052706,9.306e-05,0.00057689
564,0.4827,0.2072,0,0,90,90,0,0,65520.37,4401.05,4181.0,2356.72,1651.11,1651.11,0.2982,0.2882,0.3375,3.0,0.444227,53.925,8.089,37.748,16.178,0.00444227,0.00343221,0.00057612,0.00367584
565,0.4563,0.2952,0,90,90,90,90,0,61717.39,4325.58,4109.3,2236.86,1594.79,1594.79,0.3146,0.3046,0.3517,3.0,0.125791,14.838,2.226,10.386,4.451,0.00125791,0.000995,0.00016829,0.00102908
566,0.6401,0.2781,45,-45,45,-45,45,-45,87847.38,5987.99,5688.59,3308.88,2247.19,2247.19,0.2742,0.2642,0.3585,3.0,0.388313,64.709,9.706,45.297,19.413,0.00388313,0.00293344,0.00051563,0.00324196
567,0.4684,0.2796,0,90,90,90,90,0,63017.17,4211.36,4000.79,2406.2,1677.25,1677.25,0.2991,0.2891,0.3768,3.0,0.153593,18.176,2.726,12.723,5.453,0.00153593,0.00113306,0.0002019,0.00129477
568,0.5041,0.2792,45,45,-45,-45,45,45,67268.7,4410.9,4190.35,2521.84,1845.77,1845.77,0.2998,0.2898,0.314,3.0,0.218907,27.146,4.072,19.002,8.144,0.00218907,0.00161464,0.00028248,0.00184627
569,0.6363,0.2436,0,90,90,90,90,0,86269.2,5980.12,5681.11,3247.8,2174.15,2174.15,0.2485,0.2385,0.3592,3.0,0.108688,17.992,2.699,12.595,5.398,0.00108688,0.00083098,0.00014599,0.00090262
570,0.461,0.2772,0,0,90,90,0,0,62481.02,4167.55,3959.17,2184.11,1609.62,1609.62,0.245,0.235,0.3756,3.0,0.456333,52.12,7.818,36.484,15.636,0.00456333,0.00357952,0.00058393,0.00375187
571,0.4915,0.2619,45,45,-45,-45,45,45,66714.13,4572.63,4344.0,2408.11,1720.17,1720.17,0.268,0.258,0.3293,3.0,0.111205,13.95,2.093,9.765,4.185,0.00111205,0.00086896,0.00014638,0.00091525
572,0.6268,0.2895,0,45,-45,-45,45,0,84011.65,5661.55,5378.47,3249.25,2177.49,2177.49,0.2931,0.2831,0.319,3.0,0.385573,61.405,9.211,42.983,18.421,0.00385573,0.00283472,0.00051164,0.00325378
573,0.5147,0.2833,45,45,-45,-45,45,45,70382.56,4678.22,4444.31,2569.48,1770.19,1770.19,0.2805,0.2705,0.309,3.0,0.163804,21.298,3.195,14.909,6.389,0.00163804,0.00124333,0.00021182,0.00136579
574,0.5752,0.285,45,45,-45,-45,45,45,77273.37,5139.27,4882.31,2935.6,2074.49,2074.49,0.2481,0.2381,0.343,3.0,0.198523,28.669,4.3,20.068,8.601,0.00198523,0.0014649,0.00025971,0.00167353
575,0.5436,0.2193,0,45,-45,-45,45,0,73071.41,4752.96,4515.31,2702.03,1982.88,1982.88,0.2755,0.2655,0.32,3.0,0.098963,13.205,1.981,9.243,3.961,0.00098963,0.00073306,0.0001265,0.00083348
576,0.5359,0.2608,45,45,-45,-45,45,45,73089.34,4888.58,4644.15,2749.96,1787.44,1787.44,0.3073,0.2973,0.3415,3.0,0.17079,23.36,3.504,16.352,7.008,0.0017079,0.0012742,0.00022373,0.00143355
577,0.5194,0.2808,0,30,-30,-30,30,0,71499.22,4436.37,4214.55,2598.6,1763.46,1763.46,0.284,0.274,0.3479,3.0,0.405537,50.953,7.643,35.667,15.286,0.00405537,0.00294116,0.00049884,0.00344557
578,0.57,0.2461,45,-45,45,-45,45,-45,78580.15,4883.32,4639.15,2886.63,2042.85,2042.85,0.263,0.253,0.3051,3.0,0.174754,24.226,3.634,16.958,7.268,0.00174754,0.00125886,0.00021581,0.00148828
579,0.52,0.2011,45,-45,45,-45,45,-45,71064.86,4586.42,4357.1,2559.16,1825.11,1825.11,0.3144,0.3044,0.3291,3.0,0.356347,45.651,6.848,31.955,13.695,0.00356347,0.00267573,0.00044967,0.00298603
580,0.4702,0.201,45,45,-45,-45,45,45,64704.96,4091.38,3886.81,2310.72,1616.38,1616.38,0.3103,0.3003,0.3118,3.0,0.525065,60.227,9.034,42.159,18.068,0.00525065,0.00390962,0.00065155,0.00441613
581,0.4538,0.2401,90,45,0,0,45,90,61192.72,4258.01,4045.11,2226.29,1508.01,1508.01,0.3002,0.2902,0.3559,3.0,0.478462,55.753,8.363,39.027,16.726,0.00478462,0.00375649,0.00063778,0.00392813
582,0.5269,0.2189,45,-45,45,-45,45,-45,73242.55,4587.77,4358.39,2591.04,1872.7,1872.7,0.2792,0.2692,0.3491,3.0,0.381253,49.044,7.357,34.331,14.713,0.00381253,0.00283923,0.00046873,0.00320703
583,0.5353,0.2749,0,60,-60,-60,60,0,70995.93,4797.1,4557.25,2618.22,1898.02,1898.02,0.286,0.276,0.338,3.0,0.310898,41.364,6.205,28.955,12.409,0.00310898,0.00236977,0.00040784,0.0025868
584,0.5563,0.1881,0,90,90,90,90,0,74530.79,5078.03,4824.13,2758.47,1960.62,1960.62,0.2878,0.2778,0.3343,3.0,0.430404,60.525,9.079,42.367,18.157,0.00430404,0.00329122,0.00056845,0.00357568
585,0.5918,0.1857,90,45,0,0,45,90,79254.9,5328.75,5062.32,3044.06,2111.7,2111.7,0.3069,0.2969,0.3484,3.0,0.334807,50.125,7.519,35.087,15.037,0.00334807,0.00246995,0.00044271,0.00282193
586,0.4637,0.2331,45,-45,45,-45,45,-45,62300.53,3820.55,3629.52,2306.29,1595.89,1595.89,0.2988,0.2888,0.3615,3.0,0.223034,24.325,3.649,17.027,7.297,0.00223034,0.00158207,0.00027331,0.00191004
587,0.4618,0.2164,0,0,90,90,0,0,61750.72,3822.35,3631.23,2243.54,1579.16,1579.16,0.261,0.251,0.3569,3.0,0.282466,30.595,4.589,21.417,9.179,0.00282466,0.00204557,0.00034683,0.0024013
588,0.4596,0.2475,0,45,-45,-45,45,0,62559.79,4196.95,3987.1,2298.85,1531.62,1531.62,0.2465,0.2365,0.3348,3.0,0.247579,28.852,4.328,20.196,8.656,0.00247579,0.00188258,0.00032283,0.00206234
589,0.4865,0.286,0,0,90,90,0,0,64498.63,4480.67,4256.64,2471.15,1662.61,1662.61,0.304,0.294,0.3107,3.0,0.259464,32.325,4.849,22.627,9.697,0.00259464,0.00196213,0.00035082,0.00216428
590,0.5993,0.2302,0,60,-60,-60,60,0,80638.36,5388.49,5119.06,2953.58,2128.21,2128.21,0.2606,0.2506,0.3714,3.0,0.051717,7.74,1.161,5.418,2.322,0.00051717,0.00039308,6.719e-05,0.00043092
591,0.5814,0.2799,0,60,-60,-60,60,0,79171.27,5051.07,4798.52,2915.12,2053.57,2053.57,0.2532,0.2432,0.3462,3.0,0.309529,44.086,6.613,30.86,13.226,0.00309529,0.00226846,0.00038979,0.00261838
592,0.6009,0.2244,90,45,0,0,45,90,82304.43,5458.6,5185.67,2944.12,2139.03,2139.03,0.2412,0.2312,0.3056,3.0,0.397042,59.919,8.988,41.944,17.976,0.00397042,0.00305283,0.00050962,0.00329312
593,0.4891,0.2723,45,-45,45,-45,45,-45,66614.95,4314.62,4098.89,2364.68,1792.93,1792.93,0.2499,0.2399,0.3721,3.0,0.487002,58.388,8.758,40.872,17.516,0.00487002,0.00370375,0.00061355,0.00405977
594,0.6208,0.1864,0,60,-60,-60,60,0,85419.73,5405.43,5135.15,3096.63,2182.66,2182.66,0.2732,0.2632,0.3723,3.0,0.379494,57.734,8.66,40.414,17.32,0.00379494,0.00279664,0.00047312,0.00320424
595,0.6179,0.1869,0,60,-60,-60,60,0,83897.48,5489.57,5215.09,3038.56,2213.83,2213.83,0.2559,0.2459,0.3661,3.0,0.293266,44.855,6.728,31.399,13.457,0.00293266,0.0022143,0.00037425,0.0024513
596,0.6494,0.1918,90,45,0,0,45,90,87851.95,5759.52,5471.54,3293.74,2263.36,2263.36,0.304,0.294,0.3705,3.0,0.081651,13.222,1.983,9.255,3.967,0.00081651,0.00060214,0.00010535,0.0006887
597,0.5801,0.2187,45,-45,45,-45,45,-45,78698.21,5192.69,4933.06,2857.54,2044.8,2044.8,0.2525,0.2425,0.3762,3.0,0.427368,61.72,9.258,43.204,18.516,0.00427368,0.00323984,0.00054898,0.00356577
598,0.5725,0.2602,45,-45,45,-45,45,-45,77188.49,4963.77,4715.58,2849.77,2008.99,2008.99,0.3118,0.3018,0.3544,3.0,0.443508,61.981,9.297,43.386,18.594,0.00443508,0.0032624,0.00056208,0.00374598
599,0.4635,0.202,0,30,-30,-30,30,0,63501.45,4113.14,3907.48,2311.21,1617.21,1617.21,0.3002,0.2902,0.3069,3.0,0.532192,61.259,9.189,42.881,18.378,0.00532192,0.00397577,0.00067528,0.00446804
600,0.5719,0.1971,45,45,-45,-45,45,45,75182.43,5074.34,4820.63,2933.22,2021.76,2021.76,0.2996,0.2896,0.3745,3.0,0.255408,36.526,5.479,25.568,10.958,0.00255408,0.00186787,0.00034008,0.00215944
601,0.544,0.2296,90,45,0,0,45,90,75262.99,4480.19,4256.18,2776.27,1903.56,1903.56,0.2594,0.2494,0.3422,3.0,0.217618,28.025,4.204,19.617,8.407,0.00217618,0.00151415,0.00026065,0.00187657
602,0.4947,0.1845,0,60,-60,-60,60,0,66288.99,4172.99,3964.34,2514.96,1818.9,1818.9,0.3195,0.3095,0.3372,3.0,0.401509,47.79,7.169,33.453,14.337,0.00401509,0.00285037,0.00050466,0.00343569
603,0.6232,0.2092,90,45,0,0,45,90,84605.68,5394.37,5124.65,3162.69,2211.3,2211.3,0.2953,0.2853,0.3106,3.0,0.343516,52.471,7.871,36.73,15.741,0.00343516,0.00248859,0.00043413,0.0029181
604,0.4728,0.2726,45,45,-45,-45,45,45,64035.48,4312.36,4096.75,2378.84,1641.71,1641.71,0.2731,0.2631,0.3484,3.0,0.354648,42.549,6.382,29.785,12.765,0.00354648,0.002683,0.00046513,0.00296005
605,0.6021,0.2477,45,-45,45,-45,45,-45,81904.89,5335.21,5068.45,3033.44,2108.61,2108.61,0.2811,0.2711,0.306,3.0,0.253508,37.971,5.696,26.579,11.391,0.00253508,0.0018776,0.00032452,0.00213509
606,0.5858,0.266,0,0,90,90,0,0,79361.13,5399.67,5129.69,2897.12,2145.08,2145.08,0.2728,0.2628,0.3557,3.0,0.259097,38.603,5.79,27.022,11.581,0.00259097,0.00199867,0.00034049,0.00214472
607,0.6191,0.2665,0,30,-30,-30,30,0,84299.93,5437.52,5165.65,3204.2,2149.28,2149.28,0.3033,0.2933,0.3537,3.0,0.114147,17.595,2.639,12.317,5.279,0.00114147,0.00082369,0.0001461,0.00097076
608,0.5097,0.2199,45,-45,45,-45,45,-45,68329.66,4495.3,4270.54,2437.55,1769.93,1769.93,0.2779,0.2679,0.3159,3.0,0.360832,44.922,6.738,31.445,13.476,0.00360832,0.00276434,0.0004602,0.0029979
609,0.5254,0.2199,0,0,90,90,0,0,71445.7,4753.6,4515.92,2579.18,1882.25,1882.25,0.248,0.238,0.3628,3.0,0.171671,22.6,3.39,15.82,6.78,0.00171671,0.00131437,0.00022143,0.00142628
610,0.649,0.2836,0,60,-60,-60,60,0,87601.76,5771.36,5482.79,3307.04,2295.03,2295.03,0.2811,0.2711,0.3444,3.0,0.051919,8.429,1.264,5.9,2.529,0.00051919,0.0003823,6.735e-05,0.00043812
611,0.5005,0.2522,45,-45,45,-45,45,-45,65513.62,4422.89,4201.75,2571.29,1684.94,1684.94,0.2972,0.2872,0.3103,3.0,0.066453,8.296,1.244,5.807,2.489,0.00066453,0.00048395,8.864e-05,0.0005627
612,0.489,0.2565,0,0,90,90,0,0,63788.71,4469.1,4245.64,2484.82,1622.51,1622.51,0.2886,0.2786,0.3141,3.0,0.187204,23.312,3.497,16.319,6.994,0.00187204,0.00140728,0.00025582,0.00156489
